Noise: ,,Iteration: ,,Generations: ,,Agents per Strategy: ,
Generation 1
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),20053 / 28363 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18770 / 26945 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),15093 / 39938 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22533 / 34978 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),30088 / 4978 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19120 / 7720 (100 Games)
Random,,,,,,,9825 / 10375 (45 Games),31421 / 18861 (100 Games),5670 / 29830 (100 Games),17477 / 24857 (100 Games),25752 / 21177 (100 Games)
Tit For Two Tat,,,,,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),16066 / 20946 (100 Games),30000 / 30000 (100 Games)
Grim/Spite,,,,,,,,,13500 / 13500 (45 Games),11000 / 11155 (100 Games),30000 / 30000 (100 Games)
ZD-Extortion-2,,,,,,,,,,4942 / 4917 (45 Games),23944 / 17364 (100 Games)
ZD-GTFT-2,,,,,,,,,,,13500 / 13500 (45 Games)
Generation 7
 / ,Tit For Tat,Pavlov,Generous Tit For Tat,Firm But Fair,Always Cooperate,Always Defect,Random,Tit For Two Tat,Grim/Spite,ZD-Extortion-2,ZD-GTFT-2
Tit For Tat,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),9900 / 10400 (100 Games),22478 / 22728 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),11523 / 12023 (100 Games),30000 / 30000 (100 Games)
Pavlov,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),22242 / 22667 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),16672 / 22977 (100 Games),30000 / 30000 (100 Games)
Generous Tit For Tat,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),8905 / 14380 (100 Games),21749 / 24434 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),15011 / 19271 (100 Games),30000 / 30000 (100 Games)
Firm But Fair,,,,13500 / 13500 (45 Games),30000 / 30000 (100 Games),5000 / 30000 (100 Games),20094 / 28354 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),18719 / 26959 (100 Games),30000 / 30000 (100 Games)
Always Cooperate,,,,,13500 / 13500 (45 Games),0 / 50000 (100 Games),14649 / 40234 (100 Games),30000 / 30000 (100 Games),30000 / 30000 (100 Games),22641 / 34906 (100 Games),30000 / 30000 (100 Games)
Always Defect,,,,,,4500 / 4500 (45 Games),30152 / 4962 (100 Games),10800 / 9800 (100 Games),10400 / 9900 (100 Games),10400 / 9900 (100 Games),19408 / 7648 (100 Games)
Random,,,,,,,10370 / 10090 (45 Games),31513 / 18703 (100 Games),5758 / 29708 (100 Games),17392 / 25022 (100 Games),25707 / 20942 (100 Games)
